Орг\Тех,Ka-Sat,Дискавери (шаттл),United Launch Alliance,GSAT-19,ASM-135 ASAT,GSAT-17,Everts Air,SwissCube,Mitsubishi A6M Zero,Starlink,Jason-3,Аполлон (космическая программа),Dragonfly (космический аппарат),Планк (космическая обсерватория),Virgin Galactic,InSight,Амос-6,Международная космическая станция,Вега (ракета-носитель),OneWeb,United Airlines,Inmarsat-5 F4,Lufthansa,GGS WIND,Артемида (космическая программа),Qatar Airways
SpaceX,,,1,,,,,1,,1,,,,,1,,,,1,3,2,1,1,,,1
Jet Propulsion Laboratory,,1,,,,,,,,,,1,,1,,1,,,,,1,,,1,,
Armstrong Flight Research Center,,,,,,,1,,1,,,,,,,,,,,,1,,,,,
Federal Aviation Administration,,,1,,,,1,,1,,,,,,1,,,,,,3,,,,,
Leonardo,,,,,,,,,,,,,,,,,,,1,,,,,,,
US National Aeronautics and Space Administration (NASA),,1,2,,1,,1,,1,,1,1,1,1,1,1,,3,1,2,8,,,1,1,
European Space Agency ESA,,,1,,,,,1,,,1,,,,,,,4,4,1,4,,,,,
Italian Space Agency (Agenzia Spaziale Italiana),,,,,,,,,,,,,,,,,,,1,,,,,,,
Naked Science,,,,,,,,,,,,,,,,,,1,,,,,,,,
Starlink,,,,,,,,,,1,,,,,,,,,,1,,,,,,
Safran,,,,,,,,,,,,,,,,,,,2,,1,,,,,
Space Research Center,,1,,,,,,,,,,1,,1,,1,,,,,1,,,1,,
Roscosmos,,,,,,,,,,,,,,,,,,3,,,,,,,,
Kennedy Space Center,,,,,,,,,,,,,,,,,,,,1,1,,,,,
SpaceNews ,1,,1,,,,,1,,,1,,,,,,1,,1,4,3,1,1,,,1
UK space agency,,,,,,,,,,,,,,,,,,,1,1,,,,,,
Blue Origin,,,,,,,,,,1,,,,,,,,,,2,,,,,,
United Launch Alliance,,,2,,,,,,,,1,,,,1,,,,,1,2,,,,,
Marshall Space Flight Center,,1,,,,,,,,,,1,,1,,1,,,,,1,,,1,,
Meggitt PLC,,,,,,,,,,,,,,,,,,,,,1,,,,,
Guiana Space Center,,,,1,,1,,,,,,,,,,,,,1,,,,,,,
ClearSpace,,,,,,,,,,,,,,,,,,,1,1,,,,,,
Virgin Galactic,,,1,,,,,,,,,,,,1,,,,,,1,,,,,
Rocket Lab,,,,,,,,,,,,,,,,,,,1,1,,,,,,
Japan Aerospace Exploration Agency,,,,,,,,,,,,,,,,,,,1,1,,,,,,
